Similation_, Date: 26/09/23, 4:41 PM, Total time: 00h 00m 21s, Total data: 420
Angles (degree):, 50th: 13.0, 90th: 59.1
Time percentage (%):, >30 degree: 31.4, >60 degree: 8.7, >90 degree: 0.0 
Angular Velocities (degree/s):, 50th: 14.4, 90th: 46.3
Angle, Generalised angular velocity 
0.0, 0.0
0.6, 1.5
0.4, 0.3
0.4, 0.7
0.4, 0.6
0.4, 0.6
0.4, 0.4
0.4, 0.6
0.4, 0.5
0.4, 0.4
0.4, 0.9
0.4, 0.4
0.5, 0.5
0.5, 0.4
0.4, 0.3
0.4, 0.2
0.4, 0.6
0.5, 0.6
0.5, 0.8
0.5, 0.9
0.4, 0.8
0.4, 0.7
0.4, 0.4
0.4, 0.4
0.4, 1.8
0.4, 3.2
0.5, 3.7
0.6, 3.2
0.8, 1.8
0.9, 2.4
1.0, 5.6
1.2, 8.5
1.5, 8.5
2.0, 7.2
2.3, 7.7
2.7, 8.8
3.1, 9.1
3.5, 13.7
4.0, 14.7
4.9, 5.0
5.5, 0.2
5.4, 5.7
5.5, 11.4
6.0, 9.4
6.6, 3.8
6.9, 1.4
6.9, 1.2
6.9, 5.7
7.0, 8.1
7.4, 7.7
7.9, 4.6
8.2, 1.9
8.3, 0.4
8.4, 2.8
8.4, 9.3
8.7, 11.2
9.3, 10.9
9.8, 11.0
10.4, 10.2
10.9, 9.0
11.4, 5.1
11.8, 2.7
11.9, 5.7
12.1, 8.4
12.5, 7.9
12.9, 7.6
13.2, 9.2
13.6, 11.7
14.2, 14.4
14.8, 13.3
15.6, 8.4
16.1, 6.4
16.4, 9.1
16.8, 11.6
17.4, 13.8
17.9, 15.7
18.7, 16.9
19.5, 18.8
20.4, 19.5
21.4, 21.4
22.4, 23.0
23.5, 22.2
24.7, 21.9
25.7, 23.1
26.9, 22.9
28.0, 21.1
29.2, 19.5
30.2, 21.1
31.1, 25.7
32.3, 29.7
33.7, 30.9
35.2, 32.4
36.8, 35.6
38.5, 36.4
40.3, 34.6
42.1, 33.0
43.8, 30.3
45.4, 23.3
46.8, 14.4
47.7, 10.9
48.2, 15.1
48.8, 15.4
49.8, 17.2
50.4, 24.0
51.5, 25.8
52.8, 23.2
54.0, 18.2
55.1, 14.4
55.8, 10.9
56.2, 9.2
56.7, 9.2
57.1, 10.0
57.6, 11.6
58.2, 12.4
58.8, 9.6
59.4, 4.8
59.8, 4.7
59.9, 6.7
60.2, 4.6
60.5, 0.3
60.7, 1.7
60.5, 2.7
60.5, 3.3
60.8, 0.8
60.8, 2.9
60.7, 1.9
60.5, 1.6
60.5, 1.5
60.7, 0.4
60.7, 0.6
60.7, 1.0
60.7, 1.2
60.7, 2.0
60.6, 1.2
60.5, 0.7
60.5, 1.4
60.6, 0.5
60.7, 0.4
60.6, 0.6
60.7, 1.7
60.7, 3.2
60.5, 1.4
60.4, 0.7
60.4, 0.3
60.4, 3.1
60.4, 7.5
60.1, 11.7
59.6, 12.2
59.0, 13.6
58.4, 20.3
57.6, 26.8
56.4, 30.8
54.9, 33.0
53.3, 32.8
51.6, 33.5
50.0, 33.8
48.3, 36.2
46.6, 38.4
44.7, 40.6
42.8, 44.6
40.6, 41.4
38.3, 34.7
36.5, 32.1
34.9, 35.3
33.2, 42.9
31.3, 48.1
29.0, 40.6
26.5, 34.1
24.9, 29.8
23.1, 25.1
21.9, 29.6
20.6, 32.7
18.9, 33.7
17.3, 35.9
15.6, 31.1
13.7, 8.7
12.5, 5.3
12.9, 1.6
13.0, 10.1
12.8, 18.6
12.0, 22.1
10.9, 23.7
9.8, 23.1
8.5, 19.7
7.5, 19.2
6.6, 18.2
5.6, 13.6
4.8, 12.3
4.2, 15.4
3.5, 19.5
2.7, 20.2
1.6, 14.2
0.7, 6.7
0.2, 6.8
0.1, 13.5
0.5, 16.8
1.4, 14.8
2.2, 10.8
2.8, 8.4
3.3, 8.5
3.7, 6.1
4.1, 3.0
4.3, 1.1
4.4, 2.2
4.2, 1.1
4.2, 0.9
4.2, 2.1
4.2, 4.3
4.0, 3.7
3.7, 1.1
3.6, 0.3
3.6, 0.2
3.6, 1.0
3.6, 3.3
3.5, 3.7
3.3, 2.7
3.1, 1.4
3.0, 0.6
3.0, 2.5
3.0, 4.2
2.7, 0.7
2.6, 1.7
2.7, 0.5
2.7, 1.0
2.7, 0.5
2.7, 0.2
2.7, 1.6
2.7, 3.9
2.5, 6.8
2.3, 11.0
1.9, 19.9
1.2, 29.3
0.2, 29.9
1.8, 25.1
3.1, 24.4
4.3, 28.2
5.5, 33.3
7.1, 37.1
8.9, 39.8
10.8, 40.9
12.9, 41.8
14.9, 43.2
17.0, 41.6
19.2, 39.2
21.2, 32.9
23.1, 27.4
24.5, 23.9
25.9, 20.6
26.9, 17.7
27.9, 11.7
28.6, 5.8
29.1, 1.9
29.2, 10.9
28.9, 18.4
28.1, 23.4
27.1, 28.6
25.8, 35.0
24.2, 43.0
22.3, 47.8
19.9, 46.9
17.5, 46.3
15.2, 41.3
12.9, 33.6
11.1, 32.4
9.6, 33.7
7.9, 34.8
6.2, 39.8
4.5, 43.9
2.3, 39.2
0.8, 27.8
1.9, 10.6
2.9, 4.6
2.9, 8.9
2.4, 6.8
2.1, 5.3
1.8, 8.0
1.6, 15.9
1.1, 26.8
0.7, 34.6
1.9, 36.5
3.7, 35.3
5.5, 34.0
7.2, 33.7
8.9, 33.6
10.6, 39.2
12.3, 49.2
14.5, 53.3
17.2, 50.5
19.8, 46.2
22.2, 41.1
24.4, 38.3
26.3, 38.1
28.3, 41.1
30.1, 43.4
32.4, 42.4
34.5, 40.4
36.6, 39.1
38.5, 41.2
40.5, 43.7
42.6, 43.3
44.9, 38.0
47.0, 29.5
48.7, 24.5
49.9, 21.3
51.1, 12.3
52.1, 0.4
52.4, 11.7
52.0, 20.6
51.2, 32.4
50.0, 46.4
47.9, 53.1
45.3, 49.5
42.6, 45.1
40.4, 46.2
38.1, 48.3
35.7, 52.5
33.3, 55.5
30.5, 55.6
27.8, 57.0
24.9, 53.2
22.1, 44.6
19.6, 41.2
17.6, 42.2
15.5, 41.1
13.4, 42.2
11.4, 42.4
9.2, 37.7
7.2, 30.9
5.5, 25.5
4.2, 22.9
3.0, 14.4
2.1, 3.9
1.8, 0.6
1.8, 1.8
1.8, 5.7
2.0, 11.6
2.2, 24.6
3.0, 38.2
4.5, 45.6
6.6, 49.6
9.0, 51.0
11.6, 50.4
14.1, 51.5
16.6, 59.5
19.2, 66.9
22.5, 64.4
25.9, 58.5
29.0, 54.3
31.7, 53.2
34.4, 56.5
37.0, 59.7
40.0, 60.7
43.0, 60.2
46.1, 57.3
49.0, 52.1
51.8, 43.9
54.2, 35.9
56.2, 29.2
57.8, 27.1
59.1, 23.8
60.5, 14.3
61.5, 5.9
62.0, 6.6
62.1, 3.8
62.6, 6.0
62.5, 14.3
62.0, 28.0
61.0, 42.4
59.2, 53.3
56.8, 61.3
53.9, 61.1
50.7, 56.3
47.8, 57.8
45.0, 66.5
42.0, 76.8
38.4, 78.3
34.3, 69.7
30.5, 57.4
27.3, 48.0
24.8, 42.2
22.5, 40.2
20.6, 41.4
18.5, 42.2
16.5, 41.3
14.3, 38.6
12.3, 36.5
10.5, 35.9
8.7, 33.3
7.0, 30.1
5.5, 31.0
4.0, 33.5
2.5, 38.9
1.3, 38.0
2.0, 27.1
3.5, 14.1
4.5, 1.8
4.8, 5.2
4.7, 5.9
4.3, 4.1
4.1, 4.6
3.9, 3.9
3.6, 1.0
3.5, 0.3
3.5, 1.7
3.5, 1.9
3.4, 0.9
3.3, 0.3
3.3, 1.5
3.3, 3.9
3.1, 2.1
2.9, 0.9
2.9, 0.4
3.0, 0.7
2.9, 1.0
2.9, 1.4
2.8, 1.5
2.8, 0.5
2.7, 0.5
2.7, 2.0
2.7, 3.0
